episode,total_reward
1,-556.1072174342827
2,-7191.929569858848
3,302.3976448295507
4,135.0161040907779
5,-53.78696720516752
6,379.79073484998145
7,451.9915087644887
8,505.10171122325244
9,489.9076803974529
10,516.2079440081021
11,518.780287148762
12,525.5394343395211
13,506.7648053913033
14,472.9705638831305
15,492.0890547481583
16,465.85471999073144
17,498.01149730470144
18,513.0910609977744
19,515.138887443301
20,515.5864284605201
21,521.6404035942521
22,515.3029959087751
23,514.8171917925063
24,508.6848351596025
25,515.9667730402286
26,527.0163884619576
27,488.44982713589445
28,492.6061828021728
29,493.8508643005506
30,526.4469696755463
